image_url,transcription,translation
00456.JPG,"** ""יום נהדר... החיים הם חלום... הכל נגמר פתאום... השמש שוב תזרח... הכל יהיה אחרת...""","** ""יום נהדר... החיים הם חלום... הכל נגמר פתאום... השמש שוב תזרח... הכל יהיה אחרת..."" (Original in Hebrew)."
00457.JPG,"** ""טובה, יקירה שלי... כמה תודות לך... מכל הלב... היו ימים קשים... אבל תמיד קיווינו... אני כותב לך כדי שתדעי...""","** ""טובה, יקירה שלי... כמה תודות לך... מכל הלב... היו ימים קשים... אבל תמיד קיווינו... אני כותב לך כדי שתדעי..."" (Original in Hebrew letter)."
00458.JPG,"** ""יום שישי... הכל נראה רחוק עכשיו... מתי נזכה לראות שוב... (Red text): הלוואי ויכולתי לומר לך...""","** ""יום שישי... הכל נראה רחוק עכשיו... מתי נזכה לראות שוב... הלוואי ויכולתי לומר לך..."" (Original in Hebrew letter)."
00459.JPG,"** ""ריבנטרופ בעדותו מכריז על רצונו להיפטר... מועצת הביטחון בדלתיים סגורות... פליטים מצרפת הובאו לעטלית... הסרטיפיקטים שבידי המעפילים.""","** ""ריבנטרופ בעדותו מכריז על רצונו להיפטר... מועצת הביטחון בדלתיים סגורות... פליטים מצרפת הובאו לעתלית... אישורי העלייה (הסרטיפיקטים) שבידי המעפילים."" (Original in Hebrew newspaper clipping)."
00460.JPG,"** ""הצופה - עיתון יומי. יום שישי כ""ו אדר ב' תש""ה, 29.3.1945. מעפילים... ד""ר עזריאל קרליבך / סיכום.""","** ""הצופה - עיתון יומי. יום שישי כ""ו אדר ב' תש""ה, 29.3.1945. מעפילים... ד""ר עזריאל קרליבך / סיכום."" (Original in Hebrew newspaper page)."
00461.JPG,"** ""שער כניסה, כבד, שחור... כאן נפרדנו... הלוואי ויכולתי לשכוח... שבת שלום!""","** ""שער כניסה, כבד, שחור... כאן נפרדנו... הלוואי ויכולתי לשכוח... שבת שלום!"" (Original in Hebrew poem/letter)."
00462.JPG,"** ""שלומי טוב...""","** ""שלומי טוב..."" (Hebrew fragment)."
00463.JPG,"** ""23/II 46. Strasznie mi smutno. Nie wiem dlaczego? A może jednak wiem. Tak. Jesteś...""","** ""23.2.46. עצוב לי מאוד. אני לא יודע למה? ואולי בעצם אני כן יודע. כן. את..."""
00464.JPG,"** (Continuation of Polish letter mentioning Leipzig, evacuation, and personal reflections on war and survival).","** מכתב אישי בפולנית העוסק בפינוי מלייפציג, הרהורים אישיים על המלחמה, אובדן ותקווה להישרדות."
00467.JPG,"** ""...אני חושבת עליך... הלוואי...""","** ""...אני חושבת עליך... הלוואי..."" (Hebrew scrap)."
00468.JPG,"** ""יום שישי... יום יפה... מתי נתראה?""","** ""יום שישי... יום יפה... מתי נתראה?"" (Hebrew letter)."
00469.JPG,"** ""יום שחרורי מהצבא... סוף סוף...""","** ""יום שחרורי מהצבא... סוף סוף..."" (Hebrew letter regarding military discharge)."
00470.JPG,** (Hebrew letter regarding daily life and missing family).,** מכתב בעברית העוסק בחיי היומיום וגעגועים למשפחה.
00471.JPG,"** ""נתניה, כ""ט תמוז... לכל היקרים לי...""","** ""נתניה, כ""ט בתמוז... לכל היקרים לי..."" (Hebrew letter sent from Netanya)."
00472.JPG,"** ""13/XII 46. נתניה. ילדים יקרים! שלום!""","** ""13.12.46. נתניה. ילדים יקרים! שלום!"" (Hebrew letter to children from 1946)."
https://assets.yadvashem.org/image/upload/t_f_low_image/f_auto/v1/remote_media/documentation4/16/12612299_03263622/00027.JPG,"**
(Absender): Majer Griess, Tarnów, Tuchowska strasse 28.
(Empfänger): Kibuc Baderech, Domast dla Hüttnera, Vilinus, Szeptyckiego 10/8, Litwa.
(Handwritten text): eine Karte geschrieben auch haben wir dich geheisen grüssen Szymek Romtiu usw auch hast grüse von Mali Boron Wir grüssen und küssen dich sehr herzlich von die ganze familie jeden besonder und von die Babcia auch von Hani und Beithel deine schwesterin küssen wir wissen dich die l. Müttererben dein Vater sehr viel Hause bitte baldige antword.","**
(שולח): מאיר גריס, טרנוב, רחוב טוכובסקה 28.
(נמען): קיבוץ בדרך, עבור הוטנר, וילנה, רחוב שפטיצקייגו 10/8, ליטא.
(טקסט בכתב יד): כתבנו גלויה, וגם שלחנו לך דרישת שלום משמעק, רומצ'ו וכו'. יש לך גם דרישת שלום ממלי בורון. אנחנו מברכים ומנשקים אותך מכל הלב בשם כל המשפחה, כל אחד בנפרד, וגם מהסבתא. מחני וביתל. אחיותיך מנשקות, אנחנו יודעים על האמא היקרה... אבא שלך מאוד... בבקשה תשובה מהירה הביתה."
https://assets.yadvashem.org/image/upload/t_f_low_image/f_auto/v1/remote_media/documentation4/16/12612299_03263622/00028.JPG,"**
Tarnów den 22/I 940
Lieber Sohn Towek
Deine Karte haben wir von dir erhalten mit große freude gelesen aber wir haben gewart volle vier wochen. Lieber Towek bitte uns zu schreiben ob du hast alles was du hast dir von der heime mitgenommen das zeiger auch? auch solst uns schreiben ob du hast schon bekommen antwort von Amerika und du solst sei schreiben das sollen die Babcie schreiben. Towek schreiben das ich habe vorige woche einen große bewegen von die Schlesinger weiter hat einen Brief allein geschrieben solst uns schreiben du bist mit Schlesingern zusammen. Ich dir schreiben das Miicin Lubis hat chasene gehart und Miicin Majer Majer auch schon chasene gehart mit Riwerli Schwagerin Este von die gebürthi und bei uns ist mehr nichts Gott sei dank gesund und mich geherte dir deine Molegin Lubis mit Kinder haben.","**
טרנוב, 22.1.1940
בני היקר טובק,
קיבלנו את הגלויה שלך וקראנו אותה בשמחה גדולה, אבל חיכינו ארבעה שבועות שלמים. טובק היקר, בבקשה כתוב לנו אם יש לך את כל מה שלקחת איתך מהבית, גם את השעון? כתוב לנו גם אם כבר קיבלת תשובה מאמריקה ואתה צריך לכתוב להם. טובק, כתוב לי אם אתה נמצא יחד עם משפחת שלזינגר. אני כותב לך שלוביס התחתן וגם מאיר מאיר כבר התחתן עם ריוורלי הגיסה... ואצלנו אין שום דבר חדש, תודה לאל כולנו בריאים..."
https://assets.yadvashem.org/image/upload/t_f_low_image/f_auto/v1/remote_media/documentation4/16/12612299_03263622/00029.JPG,"**
(Absender): Majer Griess, Tarnów, Tuchowska N. 28.
(Empfänger): W. P. Tobias Hüttner, G. Jaffe, Panevėžys, Ramygalos 48, Lietuva.
(Handwritten text): osobne podziękowanie i pozdrowienie serdeczne od twojego Tatusia całuje Cię bądź zdrowy najlep. Babie poczęstowałyśmy trochę miodu a Wyciowi J. kawałek kiełbasy za którym li bardzo dziękuje. Pozdrawiam Cię serdecznie osobne pozdrowienie od k. mamusi Babci Babci Wujcia cioci i wszy. szych dziękujemy Ci poczciwego. Bywaj zdrów dobrej życzy Ci Twa, myślą szczera siostra Hanka.","**
(שולח): מאיר גריס, טרנוב, טוכובסקה 28.
(נמען): טוביאס הוטנר, פוניבז', רמיגלוס 48, ליטא.
(טקסט בכתב יד): תודה מיוחדת וברכות לבביות מאבא שלך, הוא מנשק אותך, תהיה בריא. נתנו לסבתות קצת דבש ולדוד י. חתיכת נקניק שעליה הוא מודה לך מאוד. אני מברכת אותך בחום, ברכות מיוחדות מאמא, מהסבתות, מהדוד, מהדודה ומכולם. אנחנו מודים לך, אדם יקר. היה שלום, אחותך הכנה האנקה מאחלת לך כל טוב וחושבת עליך."
https://assets.yadvashem.org/image/upload/t_f_low_image/f_auto/v1/remote_media/documentation4/16/12612299_03263622/00030.JPG,"**
Kochany Towku. Tarnów. 7/III 1941
Mogę Ci zawiadomić żeś my dostały paczkę wraz z kartką za którą Ci serdecznie dziękujemy, nie masz uprost pojęcia jak się mamusia ucieszyła ale jest nam bardzo przykro żeś nadwyrężał swe ponad siły, mamusia ma trochę zmartwienia bo zdaje się jej że nie byłeś w stanie tego pakunku posłać. To coś posłał wszystko przyszło w najlepszym porządku, tylko co do herbaty się zapytać czy można użyć na święta lub, bo mamusia chce schować na święta. Kochany Towku piszesz że starasz się na wyjazd, wręcz to cię proszę żebyś napisał dokąd, gdzie tylko pojedziesz żeby Pan Bóg dopomógł na każdym kroku, a jak gdzieś pojedziesz, nie zatrzymuj poczty, bo przychodu ta chwila poczty od ciebie to mamusia strasznie oczekuje. W domu Bogu dzięki wszystko zdrowe. Teraz niemam więcej czasu pisać drugim razem napiszę.","**
טובק היקר. טרנוב. 7.3.1941
אני יכולה להודיע לך שקיבלנו את החבילה יחד עם הגלויה, עליהן אנחנו מודים לך מכל הלב. אין לך מושג כמה אמא שמחה, אבל חבל לנו מאוד שהתאמצת מעבר לכוחותיך. אמא קצת דואגת כי נדמה לה שלא היית מסוגל לשלוח את החבילה הזאת. כל מה ששלחת הגיע בסדר גמור, רק רציתי לשאול לגבי התה, אם אפשר להשתמש בו לחגים, כי אמא רוצה לשמור אותו לחגים. טובק היקר, אתה כותב שאתה מנסה לנסוע, אני מבקשת שתכתוב לאן. לאן שלא תיסע, שאלוהים יעזור לך בכל צעד, וכשתגיע לאנשהו אל תפסיק לכתוב, כי אמא מחכה בכיליון עיניים לכל מכתב ממך. בבית, השבח לאל, כולם בריאים. אין לי עכשיו זמן לכתוב יותר, אכתוב בפעם אחרת."
https://assets.yadvashem.org/image/upload/t_f_low_image/f_auto/v1/remote_media/documentation4/16/12612299_03263622/00031.JPG,"**
(Sender): B. Hüttner, Tarnów, Chopina 12a.
(Recipient): Tobias Hüttner, Ramygalos 48, Panevėžys, Litauen.
(Handwritten text): Ich grüsse und küsse die l. Mutterleben... und küsst dich viele mahl Hani mit Beilkele grüssen und küssen dich sehr herzlich von mir dein Vater Majer die Babciu mit ganze familie grüssen küssen dich sehr herzlich. bitte Antwort.","**
(שולח): ב. הוטנר, טרנוב, שופן 12א.
(נמען): טוביאס הוטנר, רמיגלוס 48, פוניבז', ליטא.
(טקסט בכתב יד): אני מברך ומנשק את אמא היקרה... ומנשק אותך פעמים רבות. חני עם ביילקלה מברכות ומנשקות אותך בחום רב. ממני, אבא שלך מאיר. הסבתא עם כל המשפחה מברכים ומנשקים אותך בחום רב. בבקשה תשובה."
https://assets.yadvashem.org/image/upload/t_f_low_image/f_auto/v1/remote_media/documentation4/16/12612299_03263622/00032.JPG,"**
Tarnów am 3/XII 940
Lieber Sohn Towek
Deine Karte fon 20. ten haben mir gestern erhalten mit große freude gelesen wir danken dir sehr. Lieber Towek Ich kan dir schreiben das Ich bin zu hause wie lange weis Ich nicht dan bitte uns zu schreiben ob du hast bekommen schreiben fon Ameryka dan bitte dich du solst schreiben das sei sollen dir fon Ameryka schiken apakietl und du solst das uns fon dir überschicken. Lieber Sohn Towek Ich kan dir mitteilen das man hat gesagt das man kan sich dort machen zurückdenkt? bei uns hat sich gemacht schon kalt. Ich habe einige mahl angefragt ob du Korrespondirest mit D. Schlesinger und du halt fon Ihme nischt geschrieben die mütter fragt sich wegen Ihme Gott seidank wir sinden gesund mehr kein neues.","**
טרנוב, 3.12.1940
בני היקר טובק,
קיבלנו אתמול את הגלויה שלך מה-20 בחודש וקראנו אותה בשמחה גדולה. אנחנו מודים לך מאוד. טובק היקר, אני יכול לכתוב לך שאני בבית, לכמה זמן אינני יודע. בבקשה כתוב לנו אם קיבלת מכתב מאמריקה. אני מבקש ממך לכתוב להם שישלחו לך חבילה מאמריקה ואתה תשלח אותה אלינו. בני היקר טובק, אני יכול לספר לך שאמרו שאפשר... אצלנו כבר נהיה קר. שאלתי כמה פעמים אם אתה בהתכתבות עם ד. שלזינגר ולא כתבת עליו כלום. אמא שואלת עליו. תודה לאל אנחנו בריאים, אין חדשות אחרות."
https://assets.yadvashem.org/image/upload/t_f_low_image/f_auto/v1/remote_media/documentation4/16/12612299_03263622/00033.JPG,"**
(Absender): H. Hüttner, Tarnów, Tuchowska 28.
(Recipient): Tobiasz Hüttner, Panevėžys, Ramygalos 48, Litwa.
(Handwritten text): Osobne pozdrowienie od H. Rodziców od Babci cioci Wujcia od całej rodziny. Pozdrów Twoją koleżankę i kolegów. Bywaj zdrów wszystko najlepszego życzy Twa siostra Hanka.","**
(שולח): ה. הוטנר, טרנוב, טוכובסקה 28.
(נמען): טוביאס הוטנר, פוניבז', רמיגלוס 48, ליטא.
(טקסט בכתב יד): ברכות מיוחדות מההורים, מהסבתא, מהדודה, מהדוד ומכל המשפחה. מסור דרישת שלום לחברתך ולחברים. היה בריא, אחותך האנקה מאחלת לך כל טוב."
https://assets.yadvashem.org/image/upload/t_f_low_image/f_auto/v1/remote_media/documentation4/16/12612299_03263622/00034.JPG,"**
Kochany Towku. Wybacz że przez taki długi czas nie odpisałam, gdyż nie miałam cierpliwości bo mamusia była chora prze 3 tygodnie, ale dzięki Panu Bogu mamusi lepiej. U nas jest sielska zima, czy u Was też takie mrozy, co słychać u Ciebie no i wogóle jak spędzasz czas, piszesz co do zdjęcia aby my Ci posłali, więc proszę Cię żebyś poczekał trochę bo narazie niemam się cierpliwości jak Pan Bóg da na wiosnę. Pytasz się co do Tatusia Tatuś jest w domu pylaś czy zarabia jak zwykle. Kochany Towku chciałam Ci się zapytać czy korespondujesz z Jośkiem Damastem, bo słyszałam że pojechał do Palestyny. Doniesie tej parę słów. tylko Cię serdecznie pozdrawia mamuś i tatuś.","**
טובק היקר. סלח לי שלא עניתי זמן כה רב, פשוט לא הייתה לי סבלנות כי אמא הייתה חולה במשך 3 שבועות, אבל תודה לאל מצבה של אמא השתפר. אצלנו חורף כפרי, האם גם אצלכם יש כפור כזה? מה נשמע אצלך ואיך אתה מבלה את זמנך? אתה כותב לגבי התמונה שביקשת שנשלח, אז אני מבקשת שתחכה קצת כי כרגע אין לי סבלנות, בעזרת השם באביב. אתה שואל לגבי אבא, אבא בבית... האם הוא מרוויח כרגיל. טובק היקר, רציתי לשאול אותך אם אתה מתכתב עם יוסי דמאסט, כי שמעתי שהוא נסע לפלשתינה. אכתוב כמה מילים נוספות. אמא ואבא מוסרים לך דרישת שלום חמה."
https://assets.yadvashem.org/image/upload/t_f_low_image/f_auto/v1/remote_media/documentation4/16/12612299_03263622/00035.JPG,"**
(Absender): H. Hüttner, Tarnów, Szeptyckiego 10/8.
(Recipient): G. Jaffe del T. Hüttner, Panevėžys, Ramygalos 48, Lietuva.
(Handwritten text): Pozdrawiam Cię serdecznie osobne pozdrowienie od k. Rodziców Babci, od H. Babci cioci Wujcia i od całej rodziny, koledzy cię również pozdrawiają. Żegnam Cię i upafaj bądź dobrej myśli. Zdrów proszę Cię nie pisz podwójnych kartek. Hanka.","**
(שולח): ה. הוטנר, טרנוב, שפטיצקייגו 10/8.
(נמען): טוביאס הוטנר, פוניבז', רמיגלוס 48, ליטא.
(טקסט בכתב יד): מברכת אותך בחום, ברכות מיוחדות מההורים היקרים, מהסבתא, מהדודה והדוד ומכל המשפחה. גם החברים מוסרים דרישת שלום. אני נפרדת ממך, היה אופטימי. היה בריא, בבקשה אל תכתוב גלויות כפולות. האנקה."
https://assets.yadvashem.org/image/upload/t_f_low_image/f_auto/v1/remote_media/documentation4/16/12612299_03263622/00036.JPG,"**
Kochany Towku. Tarnów 19/II. Kartkę Twoją otrzymałyśmy z wielką radością żeś Bogu dzięki zdrowy, ale mnie bardzo dziwi żeś nie otrzymał od nas siedem tygodni pisma, mogę Ci napisać że cztery tygodnie temu pisałam do Ciebie kartkę. Wybacz ta kartka była trochę zatrzymana, a to z powodu, mamusia była słaba, leżała przez 3 tygodnie w łóżku, ale teraz Bogu dzięki lepiej już wychodzi. Co do cioci Beili, że się martwi o nas, jeśli chodzi o to to może posłać do Ciebie a Ty przysłesz do nas. Kochany Towku piszesz że Twoi koledzy powyjeżdżali a Tyś jeszcze jednym kolegą został, więc proszę Cię przeto żebyś się nie martwił, ryp nadaje ją. Bardzo Cię proszę żebyś mi napisał o wszystkim, napisz czy Schlesinger też wyjechał i czy Twoja koleżanka też została i czy pracujesz jeszcze w swego majstra proszę Cię bardzo napisz mi w ogóle jak Ci się powodzi. Pytasz czy Tatuś w domu na razie w domu, piszesz że u Was była ciężka zima, u nas też były ciężkie mrozy, teraz dopiero się lżej zrobiło. Na razie nie więcej.","**
טובק היקר. טרנוב 19.2. קיבלנו את הגלויה שלך בשמחה רבה על כך שאתה בריא, תודה לאל, אבל אני מאוד מתפלאת שלא קיבלת מאיתנו מכתב במשך שבעה שבועות. אני יכולה לכתוב לך שלפני ארבעה שבועות כתבתי לך גלויה. סלח לי, הגלויה ההיא התעכבה קצת בגלל שאמא הייתה חלשה ושכבה במיטה במשך 3 שבועות, אבל עכשיו תודה לאל מצבה טוב יותר והיא כבר יוצאת. לגבי דודה ביילה שדואגת לנו, היא יכולה לשלוח אליך ואתה תשלח אלינו. טובק היקר, אתה כותב שהחברים שלך עזבו ואתה נשארת עם עוד חבר אחד, אז אני מבקשת שלא תדאג... אני מאוד מבקשת שתכתוב לי על הכל, כתוב אם שלזינגר גם עזב ואם חברתך נשארה והאם אתה עדיין עובד אצל המעסיק שלך. אני מאוד מבקשת שתכתוב לי באופן כללי מה שלומך. אתה שואל אם אבא בבית - כרגע הוא בבית. אתה כותב שהיה אצלכם חורף קשה, גם אצלנו היו כפורים קשים, רק עכשיו נהיה קצת יותר קל. בינתיים זה הכל."
https://assets.yadvashem.org/image/upload/t_f_low_image/f_auto/v1/remote_media/documentation4/16/12612299_03263622/00037.JPG,"**
(Sender): Jack Spiewak, 1001 Daisy street, Clearfield, Pa, U. S. America.
(Recipient): Kibuc Samershou, Panevėžys, Kranto Gaive 13, für Tobias Hüttner, Litava, Lietuva.","**
(שולח): ג'ק שפיבק, רחוב דייזי 1001, קלירפילד, פנסילבניה, ארה""ב.
(נמען): קיבוץ סמרשאו, פוניבז', קראנטו גאיבה 13, עבור טוביאס הוטנר, ליטא."
